2019-07-28 20:31:49 [INFO] Processing column "period_activity.ttd_codigo"
2019-07-28 20:31:49 [INFO] Processing column "period_activity.proccess_id"
2019-07-28 20:31:49 [INFO] Processing column "period_activity.unit_id"
2019-07-28 20:31:49 [INFO] Processing column "period_activity.year"
2019-07-28 20:31:49 [INFO] Processing column "period_activity.period"
2019-07-28 20:31:49 [INFO] Processing table "period_duration"
2019-07-28 20:31:49 [INFO] Processing column "period_duration.id"
2019-07-28 20:31:49 [INFO] Processing column "period_duration.title"
2019-07-28 20:31:49 [INFO] Processing table "period_calendar"
2019-07-28 20:31:49 [INFO] Processing column "period_calendar.id"
2019-07-28 20:31:49 [INFO] Processing column "period_calendar.name"
2019-07-28 20:31:49 [INFO] Processing column "period_calendar.identify"
2019-07-28 20:31:49 [INFO] Processing table "meeting"
2019-07-28 20:31:49 [INFO] Processing column "meeting.id"
2019-07-28 20:31:49 [INFO] Processing column "meeting.title"
2019-07-28 20:31:49 [INFO] Processing column "meeting.description"
2019-07-28 20:31:49 [INFO] Processing column "meeting.participants"
2019-07-28 20:31:49 [INFO] Processing table "meeting_note"
2019-07-28 20:31:49 [INFO] Processing column "meeting_note.id"
2019-07-28 20:31:49 [INFO] Processing column "meeting_note.note"
2019-07-28 20:31:49 [INFO] Processing column "meeting_note.meeting_id"
2019-07-28 20:31:49 [INFO] Processing table "meeting_agreement"
2019-07-28 20:31:49 [INFO] Processing column "meeting_agreement.id"
2019-07-28 20:31:49 [INFO] Processing column "meeting_agreement.agreement"
2019-07-28 20:31:49 [INFO] Processing column "meeting_agreement.meeting_id"
2019-07-28 20:31:49 [INFO] Processing table "question"
2019-07-28 20:31:49 [INFO] Processing column "question.id"
2019-07-28 20:31:49 [INFO] Processing column "question.title"
2019-07-28 20:31:49 [INFO] Processing column "question.message"
2019-07-28 20:31:49 [INFO] Processing column "question.responsable_id"
2019-07-28 20:31:49 [INFO] Processing column "question.proccess_id"
2019-07-28 20:31:49 [INFO] Processing table "responsable"
2019-07-28 20:31:49 [INFO] Processing column "responsable.id"
2019-07-28 20:31:49 [INFO] Processing column "responsable.name"
2019-07-28 20:31:49 [INFO] Processing column "responsable.email"
2019-07-28 20:31:49 [INFO] Processing column "responsable.website"
2019-07-28 20:31:49 [INFO] Processing table "t_tipo_duracion"
2019-07-28 20:31:49 [INFO] Processing column "t_tipo_duracion.ttd_codigo"
2019-07-28 20:31:49 [INFO] Processing column "t_tipo_duracion.ttd_descripcion"
2019-07-28 20:31:49 [INFO] Processing column "t_tipo_duracion.ttd_vigencia"
2019-07-28 20:31:49 [INFO] Processing table "unit"
2019-07-28 20:31:49 [INFO] Processing column "unit.id"
2019-07-28 20:31:49 [INFO] Processing column "unit.name"
2019-07-28 20:31:49 [INFO] Processing column "unit.initials"
2019-07-28 20:31:49 [INFO] Processing column "unit.description"
2019-07-28 20:31:49 [INFO] Processing index "meeting.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "meeting_agreement.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "meeting_agreement.fk_meeting_agreement_meeting1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "meeting_agreement.fk_meeting_agreement_meeting1"
2019-07-28 20:31:49 [INFO] Mark column meeting_agreement.meeting_id as foreign reference for meeting
2019-07-28 20:31:49 [INFO] Mark column meeting.id as local reference for meeting
2019-07-28 20:31:49 [INFO] Processing index "meeting_note.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "meeting_note.fk_meeting_note_meeting1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "meeting_note.fk_meeting_note_meeting1"
2019-07-28 20:31:49 [INFO] Mark column meeting_note.meeting_id as foreign reference for meeting
2019-07-28 20:31:49 [INFO] Mark column meeting.id as local reference for meeting
2019-07-28 20:31:49 [INFO] Processing index "period_activity.PRIMARY"
2019-07-28 20:31:49 [INFO] Processing index "period_activity.fk_activity_duration1_idx"
2019-07-28 20:31:49 [INFO] Processing index "period_activity.fk_period_activity_period_calendar1_idx"
2019-07-28 20:31:49 [INFO] Processing index "period_activity.fk_period_activity_t_tipo_duracion1_idx"
2019-07-28 20:31:49 [INFO] Processing index "period_activity.fk_period_activity_proccess1_idx"
2019-07-28 20:31:49 [INFO] Processing index "period_activity.fk_period_activity_unit1_idx"
2019-07-28 20:31:49 [INFO] Processing foreign key "period_activity.fk_activity_duration1"
2019-07-28 20:31:49 [INFO] Mark column period_activity.duration_id as foreign reference for period_duration
2019-07-28 20:31:49 [INFO] Mark column period_duration.id as local reference for period_duration
2019-07-28 20:31:49 [INFO] Processing foreign key "period_activity.fk_period_activity_period_calendar1"
2019-07-28 20:31:49 [INFO] Mark column period_activity.period_calendar_id as foreign reference for period_calendar
2019-07-28 20:31:49 [INFO] Mark column period_calendar.id as local reference for period_calendar
2019-07-28 20:31:49 [INFO] Processing foreign key "period_activity.fk_period_activity_t_tipo_duracion1"
2019-07-28 20:31:49 [INFO] Mark column period_activity.ttd_codigo as foreign reference for t_tipo_duracion
2019-07-28 20:31:49 [INFO] Mark column t_tipo_duracion.ttd_codigo as local reference for t_tipo_duracion
2019-07-28 20:31:49 [INFO] Processing foreign key "period_activity.fk_period_activity_proccess1"
2019-07-28 20:31:49 [INFO] Mark column period_activity.proccess_id as foreign reference for proccess
2019-07-28 20:31:49 [INFO] Mark column proccess.id as local reference for proccess
2019-07-28 20:31:49 [INFO] Processing foreign key "period_activity.fk_period_activity_unit1"
